id,country_name,year,series_name,value,income_level,region,longitude,latitude,iso2Code
AGO,Angola,2011,Current health expenditure (% of GDP),2.65,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155,AO
AGO,Angola,2011,"Government expenditure on education, total (% of GDP)",,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155,AO
AGO,Angola,2011,"Literacy rate, adult total (% of people ages 15 and above)",,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155,AO
AGO,Angola,2011,"School enrollment, primary (% gross)",128.39,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155,AO
AGO,Angola,2011,"School enrollment, secondary (% gross)",29.69,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155,AO
AGO,Angola,2011,"School enrollment, tertiary (% gross)",6.44,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155,AO
ATG,Antigua and Barbuda,2011,GDP per capita (current US$),14911.73,High income,Latin America & Caribbean ,-61.8456,17.1175,AG
ATG,Antigua and Barbuda,2011,Current health expenditure per capita (current US$),717.28,High income,Latin America & Caribbean ,-61.8456,17.1175,AG
ATG,Antigua and Barbuda,2011,Current health expenditure (% of GDP),5.44,High income,Latin America & Caribbean ,-61.8456,17.1175,AG
ATG,Antigua and Barbuda,2011,"Government expenditure on education, total (% of GDP)",,High income,Latin America & Caribbean ,-61.8456,17.1175,AG
ATG,Antigua and Barbuda,2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,Latin America & Caribbean ,-61.8456,17.1175,AG
ATG,Antigua and Barbuda,2011,"School enrollment, primary (% gross)",117.2,High income,Latin America & Caribbean ,-61.8456,17.1175,AG
ATG,Antigua and Barbuda,2011,"School enrollment, secondary (% gross)",116.19,High income,Latin America & Caribbean ,-61.8456,17.1175,AG
ATG,Antigua and Barbuda,2011,"School enrollment, tertiary (% gross)",15.11,High income,Latin America & Caribbean ,-61.8456,17.1175,AG
ARG,Argentina,2011,GDP per capita (current US$),12704.28,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118,AR
ARG,Argentina,2011,Current health expenditure per capita (current US$),1196.51,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118,AR
ARG,Argentina,2011,Current health expenditure (% of GDP),9.42,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118,AR
ARG,Argentina,2011,"Government expenditure on education, total (% of GDP)",5.29,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118,AR
ARG,Argentina,2011,"Literacy rate, adult total (% of people ages 15 and above)",,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118,AR
ARG,Argentina,2011,"School enrollment, primary (% gross)",117.37,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118,AR
ARG,Argentina,2011,"School enrollment, secondary (% gross)",100.88,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118,AR
ARG,Argentina,2011,"School enrollment, tertiary (% gross)",77.01,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118,AR
ARM,Armenia,2011,GDP per capita (current US$),3349.55,Upper middle income,Europe & Central Asia,44.509,40.1596,AM
ARM,Armenia,2011,Current health expenditure per capita (current US$),325.29,Upper middle income,Europe & Central Asia,44.509,40.1596,AM
ARM,Armenia,2011,Current health expenditure (% of GDP),9.38,Upper middle income,Europe & Central Asia,44.509,40.1596,AM
ARM,Armenia,2011,"Government expenditure on education, total (% of GDP)",3.14,Upper middle income,Europe & Central Asia,44.509,40.1596,AM
ARM,Armenia,2011,"Literacy rate, adult total (% of people ages 15 and above)",99.74,Upper middle income,Europe & Central Asia,44.509,40.1596,AM
ARM,Armenia,2011,"School enrollment, primary (% gross)",98.33,Upper middle income,Europe & Central Asia,44.509,40.1596,AM
ARM,Armenia,2011,"School enrollment, secondary (% gross)",94.88,Upper middle income,Europe & Central Asia,44.509,40.1596,AM
ARM,Armenia,2011,"School enrollment, tertiary (% gross)",51.29,Upper middle income,Europe & Central Asia,44.509,40.1596,AM
ABW,Aruba,2011,GDP per capita (current US$),25712.38,High income,Latin America & Caribbean ,-70.0167,12.5167,AW
ABW,Aruba,2011,Current health expenditure per capita (current US$),,High income,Latin America & Caribbean ,-70.0167,12.5167,AW
ABW,Aruba,2011,Current health expenditure (% of GDP),,High income,Latin America & Caribbean ,-70.0167,12.5167,AW
ABW,Aruba,2011,"Government expenditure on education, total (% of GDP)",5.91,High income,Latin America & Caribbean ,-70.0167,12.5167,AW
ABW,Aruba,2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,Latin America & Caribbean ,-70.0167,12.5167,AW
ABW,Aruba,2011,"School enrollment, primary (% gross)",106.37,High income,Latin America & Caribbean ,-70.0167,12.5167,AW
ABW,Aruba,2011,"School enrollment, secondary (% gross)",96.63,High income,Latin America & Caribbean ,-70.0167,12.5167,AW
ABW,Aruba,2011,"School enrollment, tertiary (% gross)",37.86,High income,Latin America & Caribbean ,-70.0167,12.5167,AW
AUS,Australia,2011,GDP per capita (current US$),62605.6,High income,East Asia & Pacific,149.129,-35.282,AU
AUS,Australia,2011,Current health expenditure per capita (current US$),5876.89,High income,East Asia & Pacific,149.129,-35.282,AU
AUS,Australia,2011,Current health expenditure (% of GDP),8.53,High income,East Asia & Pacific,149.129,-35.282,AU
AUS,Australia,2011,"Government expenditure on education, total (% of GDP)",,High income,East Asia & Pacific,149.129,-35.282,AU
AUS,Australia,2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,East Asia & Pacific,149.129,-35.282,AU
AUS,Australia,2011,"School enrollment, primary (% gross)",105.27,High income,East Asia & Pacific,149.129,-35.282,AU
AUS,Australia,2011,"School enrollment, secondary (% gross)",,High income,East Asia & Pacific,149.129,-35.282,AU
AUS,Australia,2011,"School enrollment, tertiary (% gross)",,High income,East Asia & Pacific,149.129,-35.282,AU
AUT,Austria,2011,GDP per capita (current US$),51116.9,High income,Europe & Central Asia,16.3798,48.2201,AT
AUT,Austria,2011,Current health expenditure per capita (current US$),5167.82,High income,Europe & Central Asia,16.3798,48.2201,AT
AUT,Austria,2011,Current health expenditure (% of GDP),10.03,High income,Europe & Central Asia,16.3798,48.2201,AT
AUT,Austria,2011,"Government expenditure on education, total (% of GDP)",5.63,High income,Europe & Central Asia,16.3798,48.2201,AT
AUT,Austria,2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,Europe & Central Asia,16.3798,48.2201,AT
AUT,Austria,2011,"School enrollment, primary (% gross)",100.56,High income,Europe & Central Asia,16.3798,48.2201,AT
AUT,Austria,2011,"School enrollment, secondary (% gross)",99.67,High income,Europe & Central Asia,16.3798,48.2201,AT
AUT,Austria,2011,"School enrollment, tertiary (% gross)",77.26,High income,Europe & Central Asia,16.3798,48.2201,AT
AZE,Azerbaijan,2011,GDP per capita (current US$),7189.82,Upper middle income,Europe & Central Asia,49.8932,40.3834,AZ
AZE,Azerbaijan,2011,Current health expenditure per capita (current US$),184.93,Upper middle income,Europe & Central Asia,49.8932,40.3834,AZ
AZE,Azerbaijan,2011,Current health expenditure (% of GDP),2.6,Upper middle income,Europe & Central Asia,49.8932,40.3834,AZ
AZE,Azerbaijan,2011,"Government expenditure on education, total (% of GDP)",2.44,Upper middle income,Europe & Central Asia,49.8932,40.3834,AZ
AZE,Azerbaijan,2011,"Literacy rate, adult total (% of people ages 15 and above)",99.78,Upper middle income,Europe & Central Asia,49.8932,40.3834,AZ
AZE,Azerbaijan,2011,"School enrollment, primary (% gross)",95.57,Upper middle income,Europe & Central Asia,49.8932,40.3834,AZ
AZE,Azerbaijan,2011,"School enrollment, secondary (% gross)",82.92,Upper middle income,Europe & Central Asia,49.8932,40.3834,AZ
AZE,Azerbaijan,2011,"School enrollment, tertiary (% gross)",19.65,Upper middle income,Europe & Central Asia,49.8932,40.3834,AZ
BHS,"Bahamas, The",2011,GDP per capita (current US$),27090.84,High income,Latin America & Caribbean ,-77.339,25.0661,BS
BHS,"Bahamas, The",2011,Current health expenditure per capita (current US$),1442.25,High income,Latin America & Caribbean ,-77.339,25.0661,BS
BHS,"Bahamas, The",2011,Current health expenditure (% of GDP),5.32,High income,Latin America & Caribbean ,-77.339,25.0661,BS
BHS,"Bahamas, The",2011,"Government expenditure on education, total (% of GDP)",2.36,High income,Latin America & Caribbean ,-77.339,25.0661,BS
BHS,"Bahamas, The",2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,Latin America & Caribbean ,-77.339,25.0661,BS
BHS,"Bahamas, The",2011,"School enrollment, primary (% gross)",110.14,High income,Latin America & Caribbean ,-77.339,25.0661,BS
BHS,"Bahamas, The",2011,"School enrollment, secondary (% gross)",89.24,High income,Latin America & Caribbean ,-77.339,25.0661,BS
BHS,"Bahamas, The",2011,"School enrollment, tertiary (% gross)",,High income,Latin America & Caribbean ,-77.339,25.0661,BS
BHR,Bahrain,2011,GDP per capita (current US$),25032.79,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921,BH
BHR,Bahrain,2011,Current health expenditure per capita (current US$),921.72,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921,BH
BHR,Bahrain,2011,Current health expenditure (% of GDP),3.87,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921,BH
BHR,Bahrain,2011,"Government expenditure on education, total (% of GDP)",2.31,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921,BH
BHR,Bahrain,2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921,BH
BHR,Bahrain,2011,"School enrollment, primary (% gross)",96.12,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921,BH
BHR,Bahrain,2011,"School enrollment, secondary (% gross)",93.29,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921,BH
BHR,Bahrain,2011,"School enrollment, tertiary (% gross)",46.31,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921,BH
BGD,Bangladesh,2011,GDP per capita (current US$),837.34,Lower middle income,South Asia,90.4113,23.7055,BD
BGD,Bangladesh,2011,Current health expenditure per capita (current US$),22.77,Lower middle income,South Asia,90.4113,23.7055,BD
BGD,Bangladesh,2011,Current health expenditure (% of GDP),2.36,Lower middle income,South Asia,90.4113,23.7055,BD
BGD,Bangladesh,2011,"Government expenditure on education, total (% of GDP)",2.13,Lower middle income,South Asia,90.4113,23.7055,BD
BGD,Bangladesh,2011,"Literacy rate, adult total (% of people ages 15 and above)",58.77,Lower middle income,South Asia,90.4113,23.7055,BD
BGD,Bangladesh,2011,"School enrollment, primary (% gross)",,Lower middle income,South Asia,90.4113,23.7055,BD
BGD,Bangladesh,2011,"School enrollment, secondary (% gross)",49.75,Lower middle income,South Asia,90.4113,23.7055,BD
BGD,Bangladesh,2011,"School enrollment, tertiary (% gross)",13.27,Lower middle income,South Asia,90.4113,23.7055,BD
BRB,Barbados,2011,GDP per capita (current US$),19346.0,High income,Latin America & Caribbean ,-59.6105,13.0935,BB
BRB,Barbados,2011,Current health expenditure per capita (current US$),1163.27,High income,Latin America & Caribbean ,-59.6105,13.0935,BB
BRB,Barbados,2011,Current health expenditure (% of GDP),6.9,High income,Latin America & Caribbean ,-59.6105,13.0935,BB
BRB,Barbados,2011,"Government expenditure on education, total (% of GDP)",,High income,Latin America & Caribbean ,-59.6105,13.0935,BB
BRB,Barbados,2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,Latin America & Caribbean ,-59.6105,13.0935,BB
BRB,Barbados,2011,"School enrollment, primary (% gross)",100.61,High income,Latin America & Caribbean ,-59.6105,13.0935,BB
BRB,Barbados,2011,"School enrollment, secondary (% gross)",107.3,High income,Latin America & Caribbean ,-59.6105,13.0935,BB
BRB,Barbados,2011,"School enrollment, tertiary (% gross)",66.95,High income,Latin America & Caribbean ,-59.6105,13.0935,BB
BLR,Belarus,2011,GDP per capita (current US$),6527.66,Upper middle income,Europe & Central Asia,27.5766,53.9678,BY
BLR,Belarus,2011,Current health expenditure per capita (current US$),317.82,Upper middle income,Europe & Central Asia,27.5766,53.9678,BY
BLR,Belarus,2011,Current health expenditure (% of GDP),4.87,Upper middle income,Europe & Central Asia,27.5766,53.9678,BY
BLR,Belarus,2011,"Government expenditure on education, total (% of GDP)",4.68,Upper middle income,Europe & Central Asia,27.5766,53.9678,BY
BLR,Belarus,2011,"Literacy rate, adult total (% of people ages 15 and above)",,Upper middle income,Europe & Central Asia,27.5766,53.9678,BY
BLR,Belarus,2011,"School enrollment, primary (% gross)",100.93,Upper middle income,Europe & Central Asia,27.5766,53.9678,BY
BLR,Belarus,2011,"School enrollment, secondary (% gross)",108.99,Upper middle income,Europe & Central Asia,27.5766,53.9678,BY
BLR,Belarus,2011,"School enrollment, tertiary (% gross)",87.34,Upper middle income,Europe & Central Asia,27.5766,53.9678,BY
BEL,Belgium,2011,GDP per capita (current US$),47760.83,High income,Europe & Central Asia,4.36761,50.8371,BE
BEL,Belgium,2011,Current health expenditure per capita (current US$),4929.2,High income,Europe & Central Asia,4.36761,50.8371,BE
BEL,Belgium,2011,Current health expenditure (% of GDP),10.36,High income,Europe & Central Asia,4.36761,50.8371,BE
BEL,Belgium,2011,"Government expenditure on education, total (% of GDP)",6.38,High income,Europe & Central Asia,4.36761,50.8371,BE
BEL,Belgium,2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,Europe & Central Asia,4.36761,50.8371,BE
BEL,Belgium,2011,"School enrollment, primary (% gross)",101.27,High income,Europe & Central Asia,4.36761,50.8371,BE
BEL,Belgium,2011,"School enrollment, secondary (% gross)",159.35,High income,Europe & Central Asia,4.36761,50.8371,BE
BEL,Belgium,2011,"School enrollment, tertiary (% gross)",67.7,High income,Europe & Central Asia,4.36761,50.8371,BE
BLZ,Belize,2011,GDP per capita (current US$),5582.22,Upper middle income,Latin America & Caribbean ,-88.7713,17.2534,BZ
BLZ,Belize,2011,Current health expenditure per capita (current US$),252.73,Upper middle income,Latin America & Caribbean ,-88.7713,17.2534,BZ
BLZ,Belize,2011,Current health expenditure (% of GDP),4.55,Upper middle income,Latin America & Caribbean ,-88.7713,17.2534,BZ
BLZ,Belize,2011,"Government expenditure on education, total (% of GDP)",5.52,Upper middle income,Latin America & Caribbean ,-88.7713,17.2534,BZ
BLZ,Belize,2011,"Literacy rate, adult total (% of people ages 15 and above)",,Upper middle income,Latin America & Caribbean ,-88.7713,17.2534,BZ
BLZ,Belize,2011,"School enrollment, primary (% gross)",112.28,Upper middle income,Latin America & Caribbean ,-88.7713,17.2534,BZ
BLZ,Belize,2011,"School enrollment, secondary (% gross)",76.13,Upper middle income,Latin America & Caribbean ,-88.7713,17.2534,BZ
BLZ,Belize,2011,"School enrollment, tertiary (% gross)",21.55,Upper middle income,Latin America & Caribbean ,-88.7713,17.2534,BZ
BEN,Benin,2011,GDP per capita (current US$),1059.41,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779,BJ
BEN,Benin,2011,Current health expenditure per capita (current US$),31.75,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779,BJ
BEN,Benin,2011,Current health expenditure (% of GDP),3.0,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779,BJ
BEN,Benin,2011,"Government expenditure on education, total (% of GDP)",,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779,BJ
BEN,Benin,2011,"Literacy rate, adult total (% of people ages 15 and above)",44.67,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779,BJ
BEN,Benin,2011,"School enrollment, primary (% gross)",114.72,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779,BJ
BEN,Benin,2011,"School enrollment, secondary (% gross)",45.73,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779,BJ
BEN,Benin,2011,"School enrollment, tertiary (% gross)",11.81,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779,BJ
BMU,Bermuda,2011,GDP per capita (current US$),99049.02,High income,North America,-64.706,32.3293,BM
BMU,Bermuda,2011,Current health expenditure per capita (current US$),,High income,North America,-64.706,32.3293,BM
BMU,Bermuda,2011,Current health expenditure (% of GDP),,High income,North America,-64.706,32.3293,BM
BMU,Bermuda,2011,"Government expenditure on education, total (% of GDP)",2.2,High income,North America,-64.706,32.3293,BM
BMU,Bermuda,2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,North America,-64.706,32.3293,BM
BMU,Bermuda,2011,"School enrollment, primary (% gross)",103.87,High income,North America,-64.706,32.3293,BM
BMU,Bermuda,2011,"School enrollment, secondary (% gross)",88.06,High income,North America,-64.706,32.3293,BM
BMU,Bermuda,2011,"School enrollment, tertiary (% gross)",37.83,High income,North America,-64.706,32.3293,BM
BTN,Bhutan,2011,GDP per capita (current US$),2787.98,Lower middle income,South Asia,89.6177,27.5768,BT
BTN,Bhutan,2011,Current health expenditure per capita (current US$),77.75,Lower middle income,South Asia,89.6177,27.5768,BT
BTN,Bhutan,2011,Current health expenditure (% of GDP),3.08,Lower middle income,South Asia,89.6177,27.5768,BT
BTN,Bhutan,2011,"Government expenditure on education, total (% of GDP)",4.32,Lower middle income,South Asia,89.6177,27.5768,BT
BTN,Bhutan,2011,"Literacy rate, adult total (% of people ages 15 and above)",,Lower middle income,South Asia,89.6177,27.5768,BT
BTN,Bhutan,2011,"School enrollment, primary (% gross)",113.57,Lower middle income,South Asia,89.6177,27.5768,BT
BTN,Bhutan,2011,"School enrollment, secondary (% gross)",66.99,Lower middle income,South Asia,89.6177,27.5768,BT
BTN,Bhutan,2011,"School enrollment, tertiary (% gross)",7.71,Lower middle income,South Asia,89.6177,27.5768,BT
BOL,Bolivia,2011,GDP per capita (current US$),2315.52,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908,BO
BOL,Bolivia,2011,Current health expenditure per capita (current US$),119.78,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908,BO
BOL,Bolivia,2011,Current health expenditure (% of GDP),5.17,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908,BO
BOL,Bolivia,2011,"Government expenditure on education, total (% of GDP)",6.45,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908,BO
BOL,Bolivia,2011,"Literacy rate, adult total (% of people ages 15 and above)",92.23,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908,BO
BOL,Bolivia,2011,"School enrollment, primary (% gross)",100.92,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908,BO
BOL,Bolivia,2011,"School enrollment, secondary (% gross)",85.3,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908,BO
BOL,Bolivia,2011,"School enrollment, tertiary (% gross)",,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908,BO
BIH,Bosnia and Herzegovina,2011,GDP per capita (current US$),4982.69,Upper middle income,Europe & Central Asia,18.4214,43.8607,BA
BIH,Bosnia and Herzegovina,2011,Current health expenditure per capita (current US$),456.97,Upper middle income,Europe & Central Asia,18.4214,43.8607,BA
BIH,Bosnia and Herzegovina,2011,Current health expenditure (% of GDP),9.18,Upper middle income,Europe & Central Asia,18.4214,43.8607,BA
BIH,Bosnia and Herzegovina,2011,"Government expenditure on education, total (% of GDP)",,Upper middle income,Europe & Central Asia,18.4214,43.8607,BA
BIH,Bosnia and Herzegovina,2011,"Literacy rate, adult total (% of people ages 15 and above)",,Upper middle income,Europe & Central Asia,18.4214,43.8607,BA
BIH,Bosnia and Herzegovina,2011,"School enrollment, primary (% gross)",89.1,Upper middle income,Europe & Central Asia,18.4214,43.8607,BA
BIH,Bosnia and Herzegovina,2011,"School enrollment, secondary (% gross)",87.73,Upper middle income,Europe & Central Asia,18.4214,43.8607,BA
BIH,Bosnia and Herzegovina,2011,"School enrollment, tertiary (% gross)",41.98,Upper middle income,Europe & Central Asia,18.4214,43.8607,BA
BWA,Botswana,2011,GDP per capita (current US$),7287.38,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544,BW
BWA,Botswana,2011,Current health expenditure per capita (current US$),427.71,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544,BW
BWA,Botswana,2011,Current health expenditure (% of GDP),5.87,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544,BW
BWA,Botswana,2011,"Government expenditure on education, total (% of GDP)",10.83,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544,BW
BWA,Botswana,2011,"Literacy rate, adult total (% of people ages 15 and above)",,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544,BW
BWA,Botswana,2011,"School enrollment, primary (% gross)",,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544,BW
BWA,Botswana,2011,"School enrollment, secondary (% gross)",,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544,BW
BWA,Botswana,2011,"School enrollment, tertiary (% gross)",17.51,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544,BW
BRA,Brazil,2011,GDP per capita (current US$),13396.62,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801,BR
BRA,Brazil,2011,Current health expenditure per capita (current US$),1043.35,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801,BR
BRA,Brazil,2011,Current health expenditure (% of GDP),7.79,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801,BR
BRA,Brazil,2011,"Government expenditure on education, total (% of GDP)",5.74,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801,BR
BRA,Brazil,2011,"Literacy rate, adult total (% of people ages 15 and above)",91.41,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801,BR
BRA,Brazil,2011,"School enrollment, primary (% gross)",,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801,BR
BRA,Brazil,2011,"School enrollment, secondary (% gross)",,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801,BR
BRA,Brazil,2011,"School enrollment, tertiary (% gross)",,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801,BR
VGB,British Virgin Islands,2011,GDP per capita (current US$),,High income,Latin America & Caribbean ,-64.623056,18.431389,VG
VGB,British Virgin Islands,2011,Current health expenditure per capita (current US$),,High income,Latin America & Caribbean ,-64.623056,18.431389,VG
VGB,British Virgin Islands,2011,Current health expenditure (% of GDP),,High income,Latin America & Caribbean ,-64.623056,18.431389,VG
