id,country_name,year,value,series_name
ASM,American Samoa,2011,,"School enrollment, secondary (% gross)"
ASM,American Samoa,2011,,"School enrollment, tertiary (% gross)"
AND,Andorra,2011,46657.16,GDP per capita (current US$)
AND,Andorra,2011,3550.91,Current health expenditure per capita (current US$)
AND,Andorra,2011,7.62,Current health expenditure (% of GDP)
AND,Andorra,2011,2.99,"Government expenditure on education, total (% of GDP)"
AND,Andorra,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
AND,Andorra,2011,86.23,"School enrollment, primary (% gross)"
AND,Andorra,2011,86.2,"School enrollment, secondary (% gross)"
AND,Andorra,2011,,"School enrollment, tertiary (% gross)"
AGO,Angola,2011,4615.91,GDP per capita (current US$)
AGO,Angola,2011,122.12,Current health expenditure per capita (current US$)
AGO,Angola,2011,2.65,Current health expenditure (% of GDP)
AGO,Angola,2011,,"Government expenditure on education, total (% of GDP)"
AGO,Angola,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
AGO,Angola,2011,128.39,"School enrollment, primary (% gross)"
AGO,Angola,2011,29.69,"School enrollment, secondary (% gross)"
AGO,Angola,2011,6.44,"School enrollment, tertiary (% gross)"
ATG,Antigua and Barbuda,2011,14911.73,GDP per capita (current US$)
ATG,Antigua and Barbuda,2011,717.28,Current health expenditure per capita (current US$)
ATG,Antigua and Barbuda,2011,5.44,Current health expenditure (% of GDP)
ATG,Antigua and Barbuda,2011,,"Government expenditure on education, total (% of GDP)"
ATG,Antigua and Barbuda,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
ATG,Antigua and Barbuda,2011,117.2,"School enrollment, primary (% gross)"
ATG,Antigua and Barbuda,2011,116.19,"School enrollment, secondary (% gross)"
ATG,Antigua and Barbuda,2011,15.11,"School enrollment, tertiary (% gross)"
ARG,Argentina,2011,12704.28,GDP per capita (current US$)
ARG,Argentina,2011,1196.51,Current health expenditure per capita (current US$)
ARG,Argentina,2011,9.42,Current health expenditure (% of GDP)
ARG,Argentina,2011,5.29,"Government expenditure on education, total (% of GDP)"
ARG,Argentina,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
ARG,Argentina,2011,117.37,"School enrollment, primary (% gross)"
ARG,Argentina,2011,100.88,"School enrollment, secondary (% gross)"
ARG,Argentina,2011,77.01,"School enrollment, tertiary (% gross)"
ARM,Armenia,2011,3349.55,GDP per capita (current US$)
ARM,Armenia,2011,325.29,Current health expenditure per capita (current US$)
ARM,Armenia,2011,9.38,Current health expenditure (% of GDP)
ARM,Armenia,2011,3.14,"Government expenditure on education, total (% of GDP)"
ARM,Armenia,2011,99.74,"Literacy rate, adult total (% of people ages 15 and above)"
ARM,Armenia,2011,98.33,"School enrollment, primary (% gross)"
ARM,Armenia,2011,94.88,"School enrollment, secondary (% gross)"
ARM,Armenia,2011,51.29,"School enrollment, tertiary (% gross)"
ABW,Aruba,2011,25712.38,GDP per capita (current US$)
ABW,Aruba,2011,,Current health expenditure per capita (current US$)
ABW,Aruba,2011,,Current health expenditure (% of GDP)
ABW,Aruba,2011,5.91,"Government expenditure on education, total (% of GDP)"
ABW,Aruba,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
ABW,Aruba,2011,106.37,"School enrollment, primary (% gross)"
ABW,Aruba,2011,96.63,"School enrollment, secondary (% gross)"
ABW,Aruba,2011,37.86,"School enrollment, tertiary (% gross)"
AUS,Australia,2011,62605.6,GDP per capita (current US$)
AUS,Australia,2011,5876.89,Current health expenditure per capita (current US$)
AUS,Australia,2011,8.53,Current health expenditure (% of GDP)
AUS,Australia,2011,,"Government expenditure on education, total (% of GDP)"
AUS,Australia,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
AUS,Australia,2011,105.27,"School enrollment, primary (% gross)"
AUS,Australia,2011,,"School enrollment, secondary (% gross)"
AUS,Australia,2011,,"School enrollment, tertiary (% gross)"
AUT,Austria,2011,51116.9,GDP per capita (current US$)
AUT,Austria,2011,5167.82,Current health expenditure per capita (current US$)
AUT,Austria,2011,10.03,Current health expenditure (% of GDP)
AUT,Austria,2011,5.63,"Government expenditure on education, total (% of GDP)"
AUT,Austria,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
AUT,Austria,2011,100.56,"School enrollment, primary (% gross)"
AUT,Austria,2011,99.67,"School enrollment, secondary (% gross)"
AUT,Austria,2011,77.26,"School enrollment, tertiary (% gross)"
AZE,Azerbaijan,2011,7189.82,GDP per capita (current US$)
AZE,Azerbaijan,2011,184.93,Current health expenditure per capita (current US$)
AZE,Azerbaijan,2011,2.6,Current health expenditure (% of GDP)
AZE,Azerbaijan,2011,2.44,"Government expenditure on education, total (% of GDP)"
AZE,Azerbaijan,2011,99.78,"Literacy rate, adult total (% of people ages 15 and above)"
AZE,Azerbaijan,2011,95.57,"School enrollment, primary (% gross)"
AZE,Azerbaijan,2011,82.92,"School enrollment, secondary (% gross)"
AZE,Azerbaijan,2011,19.65,"School enrollment, tertiary (% gross)"
BHS,"Bahamas, The",2011,27090.84,GDP per capita (current US$)
BHS,"Bahamas, The",2011,1442.25,Current health expenditure per capita (current US$)
BHS,"Bahamas, The",2011,5.32,Current health expenditure (% of GDP)
BHS,"Bahamas, The",2011,2.36,"Government expenditure on education, total (% of GDP)"
BHS,"Bahamas, The",2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BHS,"Bahamas, The",2011,110.14,"School enrollment, primary (% gross)"
BHS,"Bahamas, The",2011,89.24,"School enrollment, secondary (% gross)"
BHS,"Bahamas, The",2011,,"School enrollment, tertiary (% gross)"
BHR,Bahrain,2011,25032.79,GDP per capita (current US$)
BHR,Bahrain,2011,921.72,Current health expenditure per capita (current US$)
BHR,Bahrain,2011,3.87,Current health expenditure (% of GDP)
BHR,Bahrain,2011,2.31,"Government expenditure on education, total (% of GDP)"
BHR,Bahrain,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BHR,Bahrain,2011,96.12,"School enrollment, primary (% gross)"
BHR,Bahrain,2011,93.29,"School enrollment, secondary (% gross)"
BHR,Bahrain,2011,46.31,"School enrollment, tertiary (% gross)"
BGD,Bangladesh,2011,837.34,GDP per capita (current US$)
BGD,Bangladesh,2011,22.77,Current health expenditure per capita (current US$)
BGD,Bangladesh,2011,2.36,Current health expenditure (% of GDP)
BGD,Bangladesh,2011,2.13,"Government expenditure on education, total (% of GDP)"
BGD,Bangladesh,2011,58.77,"Literacy rate, adult total (% of people ages 15 and above)"
BGD,Bangladesh,2011,,"School enrollment, primary (% gross)"
BGD,Bangladesh,2011,49.75,"School enrollment, secondary (% gross)"
BGD,Bangladesh,2011,13.27,"School enrollment, tertiary (% gross)"
BRB,Barbados,2011,19346.0,GDP per capita (current US$)
BRB,Barbados,2011,1163.27,Current health expenditure per capita (current US$)
BRB,Barbados,2011,6.9,Current health expenditure (% of GDP)
BRB,Barbados,2011,,"Government expenditure on education, total (% of GDP)"
BRB,Barbados,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BRB,Barbados,2011,100.61,"School enrollment, primary (% gross)"
BRB,Barbados,2011,107.3,"School enrollment, secondary (% gross)"
BRB,Barbados,2011,66.95,"School enrollment, tertiary (% gross)"
BLR,Belarus,2011,6527.66,GDP per capita (current US$)
BLR,Belarus,2011,317.82,Current health expenditure per capita (current US$)
BLR,Belarus,2011,4.87,Current health expenditure (% of GDP)
BLR,Belarus,2011,4.68,"Government expenditure on education, total (% of GDP)"
BLR,Belarus,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BLR,Belarus,2011,100.93,"School enrollment, primary (% gross)"
BLR,Belarus,2011,108.99,"School enrollment, secondary (% gross)"
BLR,Belarus,2011,87.34,"School enrollment, tertiary (% gross)"
BEL,Belgium,2011,47760.83,GDP per capita (current US$)
BEL,Belgium,2011,4929.2,Current health expenditure per capita (current US$)
BEL,Belgium,2011,10.36,Current health expenditure (% of GDP)
BEL,Belgium,2011,6.38,"Government expenditure on education, total (% of GDP)"
BEL,Belgium,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BEL,Belgium,2011,101.27,"School enrollment, primary (% gross)"
BEL,Belgium,2011,159.35,"School enrollment, secondary (% gross)"
BEL,Belgium,2011,67.7,"School enrollment, tertiary (% gross)"
BLZ,Belize,2011,5582.22,GDP per capita (current US$)
BLZ,Belize,2011,252.73,Current health expenditure per capita (current US$)
BLZ,Belize,2011,4.55,Current health expenditure (% of GDP)
BLZ,Belize,2011,5.52,"Government expenditure on education, total (% of GDP)"
BLZ,Belize,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BLZ,Belize,2011,112.28,"School enrollment, primary (% gross)"
BLZ,Belize,2011,76.13,"School enrollment, secondary (% gross)"
BLZ,Belize,2011,21.55,"School enrollment, tertiary (% gross)"
BEN,Benin,2011,1059.41,GDP per capita (current US$)
BEN,Benin,2011,31.75,Current health expenditure per capita (current US$)
BEN,Benin,2011,3.0,Current health expenditure (% of GDP)
BEN,Benin,2011,,"Government expenditure on education, total (% of GDP)"
BEN,Benin,2011,44.67,"Literacy rate, adult total (% of people ages 15 and above)"
BEN,Benin,2011,114.72,"School enrollment, primary (% gross)"
BEN,Benin,2011,45.73,"School enrollment, secondary (% gross)"
BEN,Benin,2011,11.81,"School enrollment, tertiary (% gross)"
BMU,Bermuda,2011,99049.02,GDP per capita (current US$)
BMU,Bermuda,2011,,Current health expenditure per capita (current US$)
BMU,Bermuda,2011,,Current health expenditure (% of GDP)
BMU,Bermuda,2011,2.2,"Government expenditure on education, total (% of GDP)"
BMU,Bermuda,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BMU,Bermuda,2011,103.87,"School enrollment, primary (% gross)"
BMU,Bermuda,2011,88.06,"School enrollment, secondary (% gross)"
BMU,Bermuda,2011,37.83,"School enrollment, tertiary (% gross)"
BTN,Bhutan,2011,2787.98,GDP per capita (current US$)
BTN,Bhutan,2011,77.75,Current health expenditure per capita (current US$)
BTN,Bhutan,2011,3.08,Current health expenditure (% of GDP)
BTN,Bhutan,2011,4.32,"Government expenditure on education, total (% of GDP)"
BTN,Bhutan,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BTN,Bhutan,2011,113.57,"School enrollment, primary (% gross)"
BTN,Bhutan,2011,66.99,"School enrollment, secondary (% gross)"
BTN,Bhutan,2011,7.71,"School enrollment, tertiary (% gross)"
BOL,Bolivia,2011,2315.52,GDP per capita (current US$)
BOL,Bolivia,2011,119.78,Current health expenditure per capita (current US$)
BOL,Bolivia,2011,5.17,Current health expenditure (% of GDP)
BOL,Bolivia,2011,6.45,"Government expenditure on education, total (% of GDP)"
BOL,Bolivia,2011,92.23,"Literacy rate, adult total (% of people ages 15 and above)"
BOL,Bolivia,2011,100.92,"School enrollment, primary (% gross)"
BOL,Bolivia,2011,85.3,"School enrollment, secondary (% gross)"
BOL,Bolivia,2011,,"School enrollment, tertiary (% gross)"
BIH,Bosnia and Herzegovina,2011,4982.69,GDP per capita (current US$)
BIH,Bosnia and Herzegovina,2011,456.97,Current health expenditure per capita (current US$)
BIH,Bosnia and Herzegovina,2011,9.18,Current health expenditure (% of GDP)
BIH,Bosnia and Herzegovina,2011,,"Government expenditure on education, total (% of GDP)"
BIH,Bosnia and Herzegovina,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BIH,Bosnia and Herzegovina,2011,89.1,"School enrollment, primary (% gross)"
BIH,Bosnia and Herzegovina,2011,87.73,"School enrollment, secondary (% gross)"
BIH,Bosnia and Herzegovina,2011,41.98,"School enrollment, tertiary (% gross)"
BWA,Botswana,2011,7287.38,GDP per capita (current US$)
BWA,Botswana,2011,427.71,Current health expenditure per capita (current US$)
BWA,Botswana,2011,5.87,Current health expenditure (% of GDP)
BWA,Botswana,2011,10.83,"Government expenditure on education, total (% of GDP)"
BWA,Botswana,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BWA,Botswana,2011,,"School enrollment, primary (% gross)"
BWA,Botswana,2011,,"School enrollment, secondary (% gross)"
BWA,Botswana,2011,17.51,"School enrollment, tertiary (% gross)"
BRA,Brazil,2011,13396.62,GDP per capita (current US$)
BRA,Brazil,2011,1043.35,Current health expenditure per capita (current US$)
BRA,Brazil,2011,7.79,Current health expenditure (% of GDP)
BRA,Brazil,2011,5.74,"Government expenditure on education, total (% of GDP)"
BRA,Brazil,2011,91.41,"Literacy rate, adult total (% of people ages 15 and above)"
BRA,Brazil,2011,,"School enrollment, primary (% gross)"
BRA,Brazil,2011,,"School enrollment, secondary (% gross)"
BRA,Brazil,2011,,"School enrollment, tertiary (% gross)"
VGB,British Virgin Islands,2011,,GDP per capita (current US$)
VGB,British Virgin Islands,2011,,Current health expenditure per capita (current US$)
VGB,British Virgin Islands,2011,,Current health expenditure (% of GDP)
VGB,British Virgin Islands,2011,,"Government expenditure on education, total (% of GDP)"
VGB,British Virgin Islands,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
VGB,British Virgin Islands,2011,108.73,"School enrollment, primary (% gross)"
VGB,British Virgin Islands,2011,98.26,"School enrollment, secondary (% gross)"
VGB,British Virgin Islands,2011,,"School enrollment, tertiary (% gross)"
BRN,Brunei Darussalam,2011,46382.83,GDP per capita (current US$)
BRN,Brunei Darussalam,2011,864.64,Current health expenditure per capita (current US$)
BRN,Brunei Darussalam,2011,1.86,Current health expenditure (% of GDP)
BRN,Brunei Darussalam,2011,3.32,"Government expenditure on education, total (% of GDP)"
BRN,Brunei Darussalam,2011,96.09,"Literacy rate, adult total (% of people ages 15 and above)"
BRN,Brunei Darussalam,2011,104.83,"School enrollment, primary (% gross)"
BRN,Brunei Darussalam,2011,102.11,"School enrollment, secondary (% gross)"
BRN,Brunei Darussalam,2011,17.43,"School enrollment, tertiary (% gross)"
BGR,Bulgaria,2011,7849.58,GDP per capita (current US$)
BGR,Bulgaria,2011,555.86,Current health expenditure per capita (current US$)
BGR,Bulgaria,2011,7.1,Current health expenditure (% of GDP)
BGR,Bulgaria,2011,3.55,"Government expenditure on education, total (% of GDP)"
BGR,Bulgaria,2011,98.35,"Literacy rate, adult total (% of people ages 15 and above)"
BGR,Bulgaria,2011,101.12,"School enrollment, primary (% gross)"
BGR,Bulgaria,2011,96.44,"School enrollment, secondary (% gross)"
BGR,Bulgaria,2011,59.82,"School enrollment, tertiary (% gross)"
BFA,Burkina Faso,2011,725.02,GDP per capita (current US$)
BFA,Burkina Faso,2011,33.7,Current health expenditure per capita (current US$)
BFA,Burkina Faso,2011,4.65,Current health expenditure (% of GDP)
BFA,Burkina Faso,2011,3.99,"Government expenditure on education, total (% of GDP)"
BFA,Burkina Faso,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BFA,Burkina Faso,2011,79.73,"School enrollment, primary (% gross)"
BFA,Burkina Faso,2011,23.18,"School enrollment, secondary (% gross)"
BFA,Burkina Faso,2011,3.92,"School enrollment, tertiary (% gross)"
BDI,Burundi,2011,230.07,GDP per capita (current US$)
BDI,Burundi,2011,23.17,Current health expenditure per capita (current US$)
BDI,Burundi,2011,10.07,Current health expenditure (% of GDP)
BDI,Burundi,2011,6.32,"Government expenditure on education, total (% of GDP)"
BDI,Burundi,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
BDI,Burundi,2011,135.99,"School enrollment, primary (% gross)"
BDI,Burundi,2011,26.79,"School enrollment, secondary (% gross)"
BDI,Burundi,2011,,"School enrollment, tertiary (% gross)"
CPV,Cabo Verde,2011,4002.01,GDP per capita (current US$)
CPV,Cabo Verde,2011,157.07,Current health expenditure per capita (current US$)
CPV,Cabo Verde,2011,3.92,Current health expenditure (% of GDP)
CPV,Cabo Verde,2011,4.6,"Government expenditure on education, total (% of GDP)"
CPV,Cabo Verde,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
CPV,Cabo Verde,2011,107.48,"School enrollment, primary (% gross)"
CPV,Cabo Verde,2011,86.7,"School enrollment, secondary (% gross)"
CPV,Cabo Verde,2011,19.82,"School enrollment, tertiary (% gross)"
KHM,Cambodia,2011,1088.98,GDP per capita (current US$)
KHM,Cambodia,2011,65.39,Current health expenditure per capita (current US$)
KHM,Cambodia,2011,6.0,Current health expenditure (% of GDP)
KHM,Cambodia,2011,1.21,"Government expenditure on education, total (% of GDP)"
KHM,Cambodia,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
KHM,Cambodia,2011,118.76,"School enrollment, primary (% gross)"
KHM,Cambodia,2011,,"School enrollment, secondary (% gross)"
KHM,Cambodia,2011,11.49,"School enrollment, tertiary (% gross)"
CMR,Cameroon,2011,1513.96,GDP per capita (current US$)
CMR,Cameroon,2011,58.33,Current health expenditure per capita (current US$)
CMR,Cameroon,2011,3.85,Current health expenditure (% of GDP)
CMR,Cameroon,2011,2.65,"Government expenditure on education, total (% of GDP)"
CMR,Cameroon,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
CMR,Cameroon,2011,110.02,"School enrollment, primary (% gross)"
CMR,Cameroon,2011,49.87,"School enrollment, secondary (% gross)"
CMR,Cameroon,2011,12.51,"School enrollment, tertiary (% gross)"
CAN,Canada,2011,52223.86,GDP per capita (current US$)
CAN,Canada,2011,5401.62,Current health expenditure per capita (current US$)
CAN,Canada,2011,10.41,Current health expenditure (% of GDP)
CAN,Canada,2011,5.26,"Government expenditure on education, total (% of GDP)"
CAN,Canada,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
CAN,Canada,2011,98.56,"School enrollment, primary (% gross)"
CAN,Canada,2011,102.82,"School enrollment, secondary (% gross)"
CAN,Canada,2011,63.16,"School enrollment, tertiary (% gross)"
CYM,Cayman Islands,2011,75280.96,GDP per capita (current US$)
CYM,Cayman Islands,2011,,Current health expenditure per capita (current US$)
CYM,Cayman Islands,2011,,Current health expenditure (% of GDP)
CYM,Cayman Islands,2011,,"Government expenditure on education, total (% of GDP)"
CYM,Cayman Islands,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
CYM,Cayman Islands,2011,103.91,"School enrollment, primary (% gross)"
CYM,Cayman Islands,2011,92.35,"School enrollment, secondary (% gross)"
CYM,Cayman Islands,2011,,"School enrollment, tertiary (% gross)"
CAF,Central African Republic,2011,534.06,GDP per capita (current US$)
CAF,Central African Republic,2011,19.63,Current health expenditure per capita (current US$)
CAF,Central African Republic,2011,3.68,Current health expenditure (% of GDP)
CAF,Central African Republic,2011,1.11,"Government expenditure on education, total (% of GDP)"
CAF,Central African Republic,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
CAF,Central African Republic,2011,81.35,"School enrollment, primary (% gross)"
CAF,Central African Republic,2011,15.92,"School enrollment, secondary (% gross)"
CAF,Central African Republic,2011,2.95,"School enrollment, tertiary (% gross)"
TCD,Chad,2011,1308.14,GDP per capita (current US$)
TCD,Chad,2011,37.36,Current health expenditure per capita (current US$)
TCD,Chad,2011,2.93,Current health expenditure (% of GDP)
TCD,Chad,2011,2.26,"Government expenditure on education, total (% of GDP)"
TCD,Chad,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
TCD,Chad,2011,87.17,"School enrollment, primary (% gross)"
TCD,Chad,2011,22.82,"School enrollment, secondary (% gross)"
TCD,Chad,2011,2.21,"School enrollment, tertiary (% gross)"
CHI,Channel Islands,2011,60419.23,GDP per capita (current US$)
CHI,Channel Islands,2011,,Current health expenditure per capita (current US$)
CHI,Channel Islands,2011,,Current health expenditure (% of GDP)
CHI,Channel Islands,2011,,"Government expenditure on education, total (% of GDP)"
CHI,Channel Islands,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
CHI,Channel Islands,2011,,"School enrollment, primary (% gross)"
CHI,Channel Islands,2011,,"School enrollment, secondary (% gross)"
CHI,Channel Islands,2011,,"School enrollment, tertiary (% gross)"
CHL,Chile,2011,14487.39,GDP per capita (current US$)
CHL,Chile,2011,984.45,Current health expenditure per capita (current US$)
CHL,Chile,2011,6.8,Current health expenditure (% of GDP)
CHL,Chile,2011,4.06,"Government expenditure on education, total (% of GDP)"
CHL,Chile,2011,96.7,"Literacy rate, adult total (% of people ages 15 and above)"
CHL,Chile,2011,103.17,"School enrollment, primary (% gross)"
CHL,Chile,2011,90.98,"School enrollment, secondary (% gross)"
CHL,Chile,2011,70.82,"School enrollment, tertiary (% gross)"
CHN,China,2011,5703.76,GDP per capita (current US$)
CHN,China,2011,239.2,Current health expenditure per capita (current US$)
CHN,China,2011,4.34,Current health expenditure (% of GDP)
CHN,China,2011,,"Government expenditure on education, total (% of GDP)"
CHN,China,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
CHN,China,2011,103.33,"School enrollment, primary (% gross)"
CHN,China,2011,92.03,"School enrollment, secondary (% gross)"
CHN,China,2011,26.79,"School enrollment, tertiary (% gross)"
COL,Colombia,2011,7400.99,GDP per capita (current US$)
COL,Colombia,2011,501.84,Current health expenditure per capita (current US$)
COL,Colombia,2011,6.78,Current health expenditure (% of GDP)
COL,Colombia,2011,4.47,"Government expenditure on education, total (% of GDP)"
COL,Colombia,2011,93.58,"Literacy rate, adult total (% of people ages 15 and above)"
COL,Colombia,2011,121.83,"School enrollment, primary (% gross)"
COL,Colombia,2011,101.21,"School enrollment, secondary (% gross)"
COL,Colombia,2011,45.29,"School enrollment, tertiary (% gross)"
COM,Comoros,2011,1531.44,GDP per capita (current US$)
COM,Comoros,2011,81.2,Current health expenditure per capita (current US$)
COM,Comoros,2011,5.3,Current health expenditure (% of GDP)
COM,Comoros,2011,2.83,"Government expenditure on education, total (% of GDP)"
COM,Comoros,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
COM,Comoros,2011,111.28,"School enrollment, primary (% gross)"
COM,Comoros,2011,,"School enrollment, secondary (% gross)"
COM,Comoros,2011,9.48,"School enrollment, tertiary (% gross)"
COD,"Congo, Dem. Rep.",2011,364.71,GDP per capita (current US$)
COD,"Congo, Dem. Rep.",2011,11.9,Current health expenditure per capita (current US$)
COD,"Congo, Dem. Rep.",2011,3.19,Current health expenditure (% of GDP)
COD,"Congo, Dem. Rep.",2011,,"Government expenditure on education, total (% of GDP)"
COD,"Congo, Dem. Rep.",2011,,"Literacy rate, adult total (% of people ages 15 and above)"
COD,"Congo, Dem. Rep.",2011,93.52,"School enrollment, primary (% gross)"
COD,"Congo, Dem. Rep.",2011,38.95,"School enrollment, secondary (% gross)"
COD,"Congo, Dem. Rep.",2011,7.56,"School enrollment, tertiary (% gross)"
COG,"Congo, Rep.",2011,3396.17,GDP per capita (current US$)
COG,"Congo, Rep.",2011,59.51,Current health expenditure per capita (current US$)
COG,"Congo, Rep.",2011,1.75,Current health expenditure (% of GDP)
COG,"Congo, Rep.",2011,2.65,"Government expenditure on education, total (% of GDP)"
COG,"Congo, Rep.",2011,,"Literacy rate, adult total (% of people ages 15 and above)"
COG,"Congo, Rep.",2011,108.51,"School enrollment, primary (% gross)"
COG,"Congo, Rep.",2011,,"School enrollment, secondary (% gross)"
COG,"Congo, Rep.",2011,7.96,"School enrollment, tertiary (% gross)"
CRI,Costa Rica,2011,9276.39,GDP per capita (current US$)
CRI,Costa Rica,2011,753.43,Current health expenditure per capita (current US$)
CRI,Costa Rica,2011,8.12,Current health expenditure (% of GDP)
CRI,Costa Rica,2011,6.38,"Government expenditure on education, total (% of GDP)"
CRI,Costa Rica,2011,97.41,"Literacy rate, adult total (% of people ages 15 and above)"
CRI,Costa Rica,2011,108.69,"School enrollment, primary (% gross)"
CRI,Costa Rica,2011,99.71,"School enrollment, secondary (% gross)"
CRI,Costa Rica,2011,44.67,"School enrollment, tertiary (% gross)"
CIV,Cote d'Ivoire,2011,1596.63,GDP per capita (current US$)
CIV,Cote d'Ivoire,2011,67.98,Current health expenditure per capita (current US$)
CIV,Cote d'Ivoire,2011,4.4,Current health expenditure (% of GDP)
CIV,Cote d'Ivoire,2011,2.87,"Government expenditure on education, total (% of GDP)"
CIV,Cote d'Ivoire,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
CIV,Cote d'Ivoire,2011,73.56,"School enrollment, primary (% gross)"
CIV,Cote d'Ivoire,2011,,"School enrollment, secondary (% gross)"
CIV,Cote d'Ivoire,2011,2.92,"School enrollment, tertiary (% gross)"
HRV,Croatia,2011,14695.0,GDP per capita (current US$)
HRV,Croatia,2011,1132.5,Current health expenditure per capita (current US$)
HRV,Croatia,2011,7.64,Current health expenditure (% of GDP)
HRV,Croatia,2011,4.11,"Government expenditure on education, total (% of GDP)"
HRV,Croatia,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
HRV,Croatia,2011,98.09,"School enrollment, primary (% gross)"
HRV,Croatia,2011,99.27,"School enrollment, secondary (% gross)"
HRV,Croatia,2011,59.34,"School enrollment, tertiary (% gross)"
CUB,Cuba,2011,6104.46,GDP per capita (current US$)
CUB,Cuba,2011,695.82,Current health expenditure per capita (current US$)
CUB,Cuba,2011,11.31,Current health expenditure (% of GDP)
CUB,Cuba,2011,,"Government expenditure on education, total (% of GDP)"
CUB,Cuba,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
CUB,Cuba,2011,100.29,"School enrollment, primary (% gross)"
CUB,Cuba,2011,92.22,"School enrollment, secondary (% gross)"
CUB,Cuba,2011,78.48,"School enrollment, tertiary (% gross)"
CUW,Curacao,2011,19426.33,GDP per capita (current US$)
CUW,Curacao,2011,,Current health expenditure per capita (current US$)
CUW,Curacao,2011,,Current health expenditure (% of GDP)
CUW,Curacao,2011,5.65,"Government expenditure on education, total (% of GDP)"
CUW,Curacao,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
CUW,Curacao,2011,,"School enrollment, primary (% gross)"
CUW,Curacao,2011,,"School enrollment, secondary (% gross)"
CUW,Curacao,2011,,"School enrollment, tertiary (% gross)"
CYP,Cyprus,2011,32485.8,GDP per capita (current US$)
CYP,Cyprus,2011,2114.67,Current health expenditure per capita (current US$)
