Iso3,Country,Year,Happiness Rank,Happiness Score,Health Expenditure (% GDP),Health Expenditure (per capita),GDP per Capita,Education Expenditure (% GDP),Adult Literacy %,Primary School Enrollment %,Secondary School Enrollment %,Tertiary School Enrollment %,Income Level,Region,longitude,latitude
AFG,Afghanistan,2023,143,1.721,,,413.76,,,,,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AGO,Angola,2011,135,4.178,2.65,122.12,4615.91,,,128.39,29.69,6.44,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155
AGO,Angola,2012,61,5.589,2.4,121.85,5086.03,3.08,,,,,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155
AGO,Angola,2014,137,4.033,2.43,130.59,5006.0,,66.03,,,,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155
AGO,Angola,2015,140,3.866,2.61,107.53,3213.9,3.49,66.24,120.58,,8.78,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155
AGO,Angola,2016,140,3.795,2.71,94.01,1807.95,2.75,,,54.42,9.78,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155
AGO,Angola,2017,142,3.795,2.79,112.75,2437.26,2.47,,,,,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155
ALB,Albania,2011,88,5.134,6.18,273.75,4465.71,3.18,96.85,101.58,95.47,49.4,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2012,62,5.55,6.16,260.68,4222.35,3.3,97.25,102.07,97.61,58.62,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2014,95,4.959,6.43,293.13,4602.23,3.18,,105.77,103.32,65.55,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2015,108,4.655,6.46,253.93,3981.73,3.44,,105.69,102.44,61.96,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2016,109,4.644,6.73,275.44,4168.38,3.96,,105.32,99.17,58.49,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2017,112,4.586,6.58,295.52,4614.05,3.61,98.82,105.41,97.57,58.02,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2018,107,4.719,6.67,349.21,5365.49,3.08,,104.57,98.82,56.08,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2019,105,4.883,6.86,366.34,5460.43,3.87,,102.59,99.02,61.41,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2020,93,5.117,7.5,396.17,5370.78,3.33,,100.02,95.93,61.59,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2021,89,5.199,7.4,465.57,6413.28,3.01,,97.11,97.67,59.97,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2022,83,5.277,6.19,414.35,6846.43,2.73,,96.37,97.32,62.65,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2023,87,5.304,,,8575.17,3.09,97.68,93.71,96.14,64.73,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2024,89,5.411,,,10011.63,,,111.51,108.36,82.0,Upper middle income,Europe & Central Asia,19.8172,41.3317
ARE,United Arab Emirates,2011,17,6.977,3.57,1787.6,50789.05,,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2012,14,7.144,3.34,1711.39,52034.48,,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2014,20,6.901,3.53,1776.73,51381.41,,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2015,28,6.573,3.47,1479.5,43535.0,,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2016,21,6.648,3.9,1592.92,41326.4,,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2017,20,6.774,4.01,1695.2,42340.59,,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2018,21,6.825,4.1,1872.58,45689.86,,,105.68,102.18,53.21,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2019,21,6.791,4.4,1962.47,44251.45,3.86,97.78,107.53,101.75,53.88,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2020,25,6.561,5.82,2154.41,37173.88,3.98,,108.07,99.16,54.97,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2021,24,6.576,5.3,2249.96,43360.02,3.89,98.13,106.65,103.21,56.45,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2022,26,6.571,4.68,2314.75,49899.07,,98.29,107.29,102.38,60.42,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2023,22,6.733,,,49040.69,,98.06,106.26,101.94,61.35,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2024,21,6.759,,,49377.56,,98.81,108.04,102.13,63.74,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARG,Argentina,2011,39,6.242,9.42,1196.51,12704.28,5.29,,117.37,100.88,77.01,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2012,29,6.562,9.83,1355.23,12949.72,5.35,,116.44,102.71,78.15,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2014,30,6.574,9.67,1274.66,12233.14,5.36,,113.87,106.04,81.07,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2015,26,6.65,10.23,1517.34,13679.63,5.78,,112.94,107.5,83.76,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2016,24,6.599,9.86,1251.66,12699.96,5.55,,111.65,109.6,86.67,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2017,29,6.388,10.23,1486.93,14532.5,5.45,,109.88,110.38,89.33,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2018,47,6.086,10.29,1209.54,11752.8,4.88,,109.31,109.67,91.08,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2019,55,5.975,10.16,1011.08,9955.97,4.77,,109.34,110.46,95.19,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2020,57,5.929,10.45,892.0,8535.6,5.28,99.14,108.5,112.38,99.37,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2021,57,5.967,10.04,1080.88,10738.02,4.65,,108.14,115.74,107.22,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2022,52,6.024,9.86,1370.88,13935.68,4.79,,106.76,114.15,107.1,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2023,48,6.188,,,14187.48,5.9,,102.54,105.57,107.82,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2024,42,6.397,,,13858.2,,,,,,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARM,Armenia,2011,121,4.474,9.38,325.29,3349.55,3.14,99.74,98.33,94.88,51.29,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2012,128,4.316,9.13,331.91,3511.56,2.77,,97.09,,44.49,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2014,127,4.35,10.18,404.34,3852.12,2.25,,94.42,86.52,47.72,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2015,120,4.36,10.12,365.52,3512.39,2.81,,93.09,86.44,48.73,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2016,121,4.376,9.95,359.58,3524.42,2.76,99.74,93.11,,54.34,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2017,129,4.321,10.36,409.8,3869.05,2.71,99.74,93.1,,55.51,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2018,116,4.559,10.01,428.35,4196.01,2.11,,92.13,83.02,57.46,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2019,116,4.677,11.38,533.7,4597.23,2.16,,92.32,86.83,53.59,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2020,86,5.283,12.24,535.27,4268.68,2.71,99.79,92.87,88.51,52.33,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2021,82,5.399,12.32,595.84,4685.18,2.77,,94.64,91.49,56.62,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2022,79,5.342,9.96,674.79,6571.97,2.49,99.82,96.95,91.71,57.18,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2023,82,5.455,,,8125.27,2.44,99.84,98.09,89.41,56.28,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2024,87,5.494,,,8500.61,,,101.99,90.95,52.77,Upper middle income,Europe & Central Asia,44.509,40.1596
AUS,Australia,2011,9,7.345,8.53,5876.89,62605.6,,,105.27,,,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2012,10,7.35,8.67,6038.87,68072.87,,,105.67,,,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2014,10,7.284,9.82,6098.25,62544.09,,,105.46,,,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2015,9,7.313,10.17,5294.57,56739.03,,,101.67,159.11,119.68,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2016,9,7.284,10.09,5423.83,49888.04,,,101.18,155.59,119.68,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2017,10,7.272,10.11,5780.54,53901.71,,,100.64,153.58,109.99,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2018,11,7.228,10.05,5830.1,57196.42,,,100.4,136.11,103.32,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2019,12,7.223,10.21,5529.19,54972.7,,,100.2,144.06,109.76,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2020,11,7.183,10.66,5952.89,51791.54,5.39,,99.9,137.49,110.14,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2021,12,7.162,10.43,7039.58,60607.78,5.34,,99.93,135.53,112.69,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2022,12,7.095,9.93,6731.0,64997.01,5.06,,99.13,133.28,106.24,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2023,10,7.057,,,64835.92,,,99.37,134.1,104.65,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2024,11,6.974,,,64407.48,,,,,,High income,East Asia & Pacific,149.129,-35.282
AUT,Austria,2011,13,7.227,10.03,5167.82,51116.9,5.63,,100.56,99.67,77.26,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2012,8,7.369,10.2,4966.1,48250.41,5.52,,100.34,100.11,79.55,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2014,13,7.2,10.37,5393.6,51314.97,5.5,,100.97,101.3,81.02,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2015,12,7.119,10.37,4612.82,43915.23,5.49,,101.1,101.41,82.26,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2016,13,7.006,10.35,4709.88,45061.5,5.51,,100.43,100.23,82.85,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2017,12,7.139,10.38,4938.92,47163.74,5.4,,101.1,100.34,83.84,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2018,10,7.246,10.35,5337.22,51194.07,5.25,,101.37,100.69,85.87,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2019,9,7.294,10.49,5263.39,49885.99,5.24,,101.78,101.54,86.32,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2020,10,7.268,11.32,5531.02,48716.41,5.58,,101.56,101.69,88.71,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2021,11,7.163,12.15,6520.49,53648.72,5.48,,101.64,102.31,93.94,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2022,11,7.097,11.16,5851.96,52176.66,5.28,,100.78,101.46,94.51,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2023,14,6.905,10.88,6208.64,56033.57,,,100.9,100.5,91.68,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2024,17,6.81,,,56833.2,,,,,,High income,Europe & Central Asia,16.3798,48.2201
AZE,Azerbaijan,2011,116,4.582,2.6,184.93,7189.82,2.44,99.78,95.57,82.92,19.65,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2012,116,4.604,3.16,234.6,7495.87,2.07,99.78,97.96,82.76,20.44,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2014,80,5.212,3.59,280.22,7890.84,2.63,99.79,106.06,83.44,23.16,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2015,80,5.291,4.34,236.26,5500.5,2.95,99.79,106.6,84.81,25.48,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2016,85,5.234,4.42,169.7,3880.69,2.9,99.79,106.43,86.59,27.24,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2017,87,5.201,4.07,167.02,4147.2,2.47,99.79,103.29,89.26,28.47,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2018,89,5.208,3.84,180.04,4739.79,2.46,,99.72,108.49,28.97,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2019,89,5.165,4.18,199.26,4805.75,3.18,99.8,97.94,107.86,32.92,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2020,90,5.171,5.85,245.22,4229.91,4.33,,98.24,91.37,36.39,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2021,92,5.173,4.69,250.99,5408.05,3.7,,97.73,91.41,39.01,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2023,101,4.893,,,7133.03,3.66,99.78,101.98,92.74,41.39,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2024,106,4.875,,,7283.84,,,105.63,91.12,41.34,Upper middle income,Europe & Central Asia,49.8932,40.3834
BDI,Burundi,2011,152,3.678,10.07,23.17,230.07,6.32,,135.99,26.79,,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BDI,Burundi,2012,153,3.706,8.64,20.01,231.69,6.17,,131.36,29.57,2.92,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BDI,Burundi,2014,157,2.906,7.21,18.07,250.54,6.78,61.29,121.42,40.26,4.47,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BDI,Burundi,2015,156,2.905,6.29,17.68,280.97,6.37,,116.23,43.94,5.26,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BDI,Burundi,2016,154,2.905,7.06,18.59,235.29,4.69,65.69,112.48,47.47,3.98,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BDI,Burundi,2017,156,2.905,6.95,19.17,236.69,4.76,68.38,107.55,48.22,4.31,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BDI,Burundi,2018,145,3.775,7.29,18.68,224.9,5.08,,104.26,46.33,4.55,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BDI,Burundi,2019,140,3.775,9.05,22.24,210.24,5.35,,101.51,41.84,,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BDI,Burundi,2020,140,3.775,10.72,26.22,210.01,5.32,71.41,101.66,44.92,,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BEL,Belgium,2011,15,7.113,10.36,4929.2,47760.83,6.38,,101.27,159.35,67.7,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2012,21,6.967,10.5,4704.68,44874.17,6.57,,101.52,160.11,69.75,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2014,19,6.937,10.61,5079.83,47995.78,6.56,,103.1,162.42,74.04,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2015,18,6.929,10.8,4442.13,40893.8,6.47,,102.24,164.08,76.42,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2016,17,6.891,10.79,4542.66,41854.55,6.49,,102.06,160.69,77.24,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2017,16,6.927,10.8,4783.81,44035.32,6.45,,102.75,158.67,80.77,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2018,18,6.923,10.86,5176.85,47487.21,6.39,,102.5,156.51,79.12,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2019,20,6.864,10.76,5033.17,46716.62,6.32,,102.15,156.64,79.3,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2020,20,6.834,11.26,5144.98,45906.29,6.75,,102.06,151.73,79.5,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2021,19,6.805,11.05,5743.62,51658.24,6.38,,101.82,143.16,82.69,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2022,17,6.859,10.76,5404.62,50822.25,6.28,,102.18,142.92,83.57,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2023,16,6.894,,,54690.09,,,102.11,142.96,82.15,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2024,14,6.91,,,55954.61,,,,,,High income,Europe & Central Asia,4.36761,50.8371
BEN,Benin,2011,155,3.493,3.0,31.75,1059.41,,44.67,114.72,45.73,11.81,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2012,155,3.528,3.08,32.96,1071.53,3.56,,118.54,,12.86,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2014,155,3.34,2.69,32.41,1204.4,3.16,,119.68,52.6,14.69,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2015,152,3.484,2.73,27.35,1002.42,3.17,,121.99,55.13,12.49,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2016,143,3.657,2.8,28.25,1010.53,2.9,,120.3,55.29,11.95,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2017,136,4.141,2.67,28.15,1054.97,3.54,38.87,116.29,,11.34,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2018,102,4.883,2.89,33.22,1151.74,2.93,,111.81,,11.57,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2019,86,5.216,2.51,28.37,1130.82,2.73,49.0,106.8,,10.39,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2020,99,5.045,2.71,32.55,1200.19,2.9,,104.03,43.99,10.38,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2021,115,4.623,2.58,34.04,1318.65,3.1,43.83,105.63,44.27,9.83,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2022,116,4.374,2.68,33.88,1266.43,3.1,51.38,108.04,43.56,10.24,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2023,116,4.377,,,1394.18,3.23,,,,,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2024,121,4.357,,,1485.38,,,,,,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BFA,Burkina Faso,2011,144,3.926,4.65,33.7,725.02,3.99,,79.73,23.18,3.92,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2012,131,4.259,4.6,33.67,731.47,3.6,,81.98,25.24,4.34,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2014,152,3.587,5.0,38.25,764.86,4.05,34.6,84.55,29.57,4.9,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2015,144,3.739,5.13,32.34,630.12,3.67,,85.15,32.89,4.9,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2016,134,4.032,5.95,39.52,663.74,,,87.41,34.93,5.41,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2017,121,4.424,6.06,42.94,709.09,5.63,,89.51,37.16,5.83,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2018,115,4.587,5.0,38.92,777.47,5.49,39.35,91.5,39.63,6.32,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2019,112,4.769,5.37,41.05,764.85,5.46,29.66,89.79,40.08,6.91,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2020,113,4.834,6.58,54.29,825.24,5.21,,87.7,39.25,7.64,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2021,113,4.67,6.41,57.22,895.54,5.25,36.97,87.02,38.15,9.31,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2022,104,4.638,6.77,56.76,836.12,5.29,40.92,82.26,33.62,9.67,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2023,110,4.548,,,882.69,5.33,41.44,72.24,30.86,10.11,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2024,120,4.383,,,987.32,,,77.17,29.99,10.04,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BGD,Bangladesh,2011,104,4.807,2.36,22.77,837.34,2.13,58.77,,49.75,13.27,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2012,108,4.804,2.35,23.44,859.68,2.18,57.86,,51.67,13.42,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2014,109,4.694,2.28,29.91,1094.46,2.1,61.09,,,13.58,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2015,109,4.643,2.27,33.21,1224.39,1.87,65.14,,59.42,15.57,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2016,110,4.608,2.39,39.31,1649.28,1.28,72.76,,64.17,17.4,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2017,115,4.5,2.37,42.18,1811.08,2.11,72.89,105.13,62.34,18.52,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2018,125,4.456,2.32,44.79,1965.24,2.09,73.91,107.19,65.27,19.57,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2019,107,4.833,2.26,47.84,2129.8,1.13,74.68,,65.12,22.71,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2020,101,5.025,2.27,51.01,2248.85,2.14,74.91,110.07,66.43,22.69,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2021,94,5.155,2.37,58.54,2482.85,2.17,76.36,106.33,66.83,23.9,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2022,118,4.282,2.39,61.09,2716.49,2.09,79.0,107.8,67.04,23.5,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2023,129,3.886,,,2551.02,2.16,,103.12,65.99,24.2,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2024,134,3.851,,,2593.42,2.03,,106.49,64.3,23.73,Lower middle income,South Asia,90.4113,23.7055
BGR,Bulgaria,2011,147,3.889,7.1,555.86,7849.58,3.55,98.35,101.12,96.44,59.82,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2012,144,3.981,7.54,558.65,7431.96,3.48,,100.36,95.39,62.16,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2014,134,4.218,7.68,605.26,8069.6,,,99.25,104.94,72.98,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2015,128,4.217,7.39,521.42,7268.65,,,99.13,103.89,78.3,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2016,105,4.714,7.46,562.34,7822.5,,,98.08,103.0,80.64,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2017,100,4.933,7.5,624.55,8696.69,4.08,,97.59,103.46,81.22,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2018,97,5.011,7.33,689.91,9872.39,4.05,,96.79,104.04,83.13,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2019,96,5.102,7.09,697.9,10372.8,4.21,,96.44,102.66,84.75,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2020,88,5.266,8.48,856.7,10769.95,4.48,,96.54,101.35,85.53,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2021,85,5.371,8.62,1047.46,12972.22,4.71,,95.61,98.71,85.3,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2022,77,5.466,7.66,1011.09,13999.67,4.5,,95.89,96.67,84.13,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2023,81,5.463,,,15883.86,,,95.42,95.62,79.85,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2024,85,5.554,,,17412.41,,,,,,High income,Europe & Central Asia,23.3238,42.7105
BHR,Bahrain,2011,61,5.568,3.87,921.72,25032.79,2.31,,96.12,93.29,46.31,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921
BHR,Bahrain,2012,79,5.312,4.11,1038.17,26438.67,2.54,,101.8,98.47,47.68,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921
