Iso3,Country,Year,Happiness Rank,Happiness Score,GDP Contribution,Life Expectancy Contribution,Corruption Impact,Health Expenditure (% GDP),Health Expenditure (per capita),GDP per Capita,Education Expenditure (% GDP),Adult Literacy %,Primary School Enrollment %,Secondary School Enrollment %,Tertiary School Enrollment %,Income Level,Region,longitude,latitude
BEL,Belgium,2021,19,6.805,1.907,0.764,0.204,11.05,5743.62,51658.24,6.38,,101.82,143.16,82.69,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2022,17,6.859,1.907,0.528,0.273,10.76,5404.62,50822.25,6.28,,102.18,142.92,83.57,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2023,16,6.894,1.868,0.69,0.311,,,54690.09,,,102.11,142.96,82.15,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2024,14,6.91,1.783,0.852,0.306,,,55954.61,,,,,,High income,Europe & Central Asia,4.36761,50.8371
BEN,Benin,2019,86,5.216,0.366,0.328,0.126,2.51,28.37,1130.82,2.73,49.0,106.8,,10.39,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2020,99,5.045,0.507,0.196,0.178,2.71,32.55,1200.19,2.9,,104.03,43.99,10.38,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2021,115,4.623,0.932,0.335,0.23,2.58,34.04,1318.65,3.1,43.83,105.63,44.27,9.83,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2022,116,4.374,0.924,0.124,0.253,2.68,33.88,1266.43,3.1,51.38,108.04,43.56,10.24,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2023,116,4.377,0.914,0.284,0.252,,,1394.18,3.23,,,,,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BEN,Benin,2024,121,4.357,0.855,0.357,0.238,,,1485.38,,,,,,Lower middle income,Sub-Saharan Africa ,2.6323,6.4779
BFA,Burkina Faso,2019,112,4.769,0.302,0.313,0.126,5.37,41.05,764.85,5.46,29.66,89.79,40.08,6.91,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2020,113,4.834,0.364,0.179,0.122,6.58,54.29,825.24,5.21,,87.7,39.25,7.64,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2021,113,4.67,0.779,0.32,0.126,6.41,57.22,895.54,5.25,36.97,87.02,38.15,9.31,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2022,104,4.638,0.768,0.107,0.113,6.77,56.76,836.12,5.29,40.92,82.26,33.62,9.67,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2023,110,4.548,0.756,0.274,0.179,,,882.69,5.33,41.44,72.24,30.86,10.11,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BFA,Burkina Faso,2024,120,4.383,0.724,0.296,0.218,,,987.32,,,77.17,29.99,10.04,Low income,Sub-Saharan Africa ,-1.53395,12.3605
BGD,Bangladesh,2019,107,4.833,0.556,0.695,0.177,2.26,47.84,2129.8,1.13,74.68,,65.12,22.71,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2020,101,5.025,0.635,0.514,0.164,2.27,51.01,2248.85,2.14,74.91,110.07,66.43,22.69,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2021,94,5.155,1.06,0.581,0.187,2.37,58.54,2482.85,2.17,76.36,106.33,66.83,23.9,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2022,118,4.282,1.133,0.355,0.165,2.39,61.09,2716.49,2.09,79.0,107.8,67.04,23.5,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2023,129,3.886,1.122,0.513,0.167,,,2551.02,2.16,,103.12,65.99,24.2,Lower middle income,South Asia,90.4113,23.7055
BGD,Bangladesh,2024,134,3.851,1.116,0.592,0.132,,,2593.42,2.03,,106.49,64.3,23.73,Lower middle income,South Asia,90.4113,23.7055
BGR,Bulgaria,2019,96,5.102,1.047,0.778,0.0,7.09,697.9,10372.8,4.21,,96.44,102.66,84.75,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2020,88,5.266,1.181,0.583,0.005,8.48,856.7,10769.95,4.48,,96.54,101.35,85.53,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2021,85,5.371,1.625,0.64,0.021,8.62,1047.46,12972.22,4.71,,95.61,98.71,85.3,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2022,77,5.466,1.635,0.408,0.013,7.66,1011.09,13999.67,4.5,,95.89,96.67,84.13,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2023,81,5.463,1.629,0.567,0.006,,,15883.86,,,95.42,95.62,79.85,High income,Europe & Central Asia,23.3238,42.7105
BGR,Bulgaria,2024,85,5.554,1.573,0.463,0.0,,,17412.41,,,,,,High income,Europe & Central Asia,23.3238,42.7105
BHR,Bahrain,2019,40,6.227,1.297,0.839,0.127,3.96,1030.26,27259.74,2.11,,96.78,102.13,52.9,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921
BHR,Bahrain,2020,22,6.647,1.409,0.662,0.139,4.72,1101.79,24342.84,2.06,,,,54.41,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921
BHR,Bahrain,2021,21,6.647,1.854,0.625,0.155,4.49,1175.28,27147.81,1.85,,,,47.5,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921
BHR,Bahrain,2022,42,6.173,1.883,0.389,0.138,3.84,1110.68,30470.52,1.71,97.87,96.99,103.39,50.31,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921
BHR,Bahrain,2024,59,6.03,1.752,0.609,0.167,,,30048.22,,97.82,96.88,98.81,58.37,High income,"Middle East, North Africa, Afghanistan & Pakistan",50.5354,26.1921
BIH,Bosnia and Herzegovina,2019,69,5.674,0.918,0.814,0.001,8.93,546.45,6122.38,4.04,,100.93,85.54,46.67,Upper middle income,Europe & Central Asia,18.4214,43.8607
BIH,Bosnia and Herzegovina,2020,64,5.813,1.032,0.618,0.005,9.7,594.82,6130.31,3.02,,100.26,85.56,43.8,Upper middle income,Europe & Central Asia,18.4214,43.8607
BIH,Bosnia and Herzegovina,2021,67,5.768,1.468,0.665,0.006,9.56,697.07,7295.34,4.14,,101.17,85.68,45.06,Upper middle income,Europe & Central Asia,18.4214,43.8607
BIH,Bosnia and Herzegovina,2022,71,5.633,1.467,0.429,0.008,8.72,667.3,7655.59,2.97,,101.6,87.04,45.61,Upper middle income,Europe & Central Asia,18.4214,43.8607
BIH,Bosnia and Herzegovina,2023,65,5.877,1.465,0.587,0.0,,,8663.02,3.25,,101.19,87.87,45.5,Upper middle income,Europe & Central Asia,18.4214,43.8607
BIH,Bosnia and Herzegovina,2024,56,6.136,1.405,0.616,0.009,,,8957.37,,,,,,Upper middle income,Europe & Central Asia,18.4214,43.8607
BLR,Belarus,2019,75,5.54,1.019,0.753,0.194,5.86,400.12,6837.77,4.98,99.87,97.05,100.44,81.29,Upper middle income,Europe & Central Asia,27.5766,53.9678
BLR,Belarus,2020,75,5.534,1.124,0.56,0.199,6.41,420.44,6542.86,4.86,,95.53,100.58,79.9,Upper middle income,Europe & Central Asia,27.5766,53.9678
BLR,Belarus,2021,65,5.821,1.562,0.629,0.282,6.57,484.04,7489.72,4.61,,95.53,100.42,78.6,Upper middle income,Europe & Central Asia,27.5766,53.9678
BLZ,Belize,2024,25,6.711,1.256,0.525,0.082,,,8429.68,4.62,,96.48,86.46,24.81,Upper middle income,Latin America & Caribbean ,-88.7713,17.2534
BOL,Bolivia,2019,65,5.747,0.731,0.662,0.073,6.89,241.35,3503.9,8.09,,97.67,88.82,,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908
BOL,Bolivia,2020,69,5.716,0.842,0.486,0.064,8.02,248.7,3099.94,8.44,93.85,98.24,88.87,,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908
BOL,Bolivia,2021,71,5.6,1.256,0.555,0.064,8.16,276.21,3384.84,7.96,,98.47,90.41,,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908
BOL,Bolivia,2022,69,5.684,1.24,0.329,0.06,8.43,307.14,3643.93,7.58,,99.2,90.37,,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908
BOL,Bolivia,2023,73,5.784,1.217,0.488,0.061,,,3686.28,8.32,95.55,98.57,91.37,,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908
BOL,Bolivia,2024,74,5.868,1.173,0.346,0.052,,,4001.21,,,,,,Lower middle income,Latin America & Caribbean ,-66.1936,-13.9908
BRA,Brazil,2019,32,6.376,0.953,0.766,0.107,9.61,868.17,9029.83,5.96,93.9,107.41,103.95,52.62,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801
BRA,Brazil,2020,35,6.33,1.028,0.571,0.117,9.62,680.77,7074.19,5.77,94.76,105.5,104.13,54.57,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801
BRA,Brazil,2021,38,6.293,1.462,0.615,0.134,9.64,768.27,7972.54,5.5,94.78,103.47,106.65,56.83,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801
BRA,Brazil,2022,48,6.125,1.454,0.387,0.137,9.14,848.57,9281.33,5.62,94.39,103.97,106.03,60.39,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801
BRA,Brazil,2023,44,6.272,1.43,0.548,0.142,,,10377.59,,94.58,,,,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801
BRA,Brazil,2024,36,6.494,1.391,0.48,0.127,,,10280.31,,94.8,,,,Upper middle income,Latin America & Caribbean ,-47.9292,-15.7801
BWA,Botswana,2019,147,3.479,0.998,0.494,0.102,6.12,438.29,7172.09,8.4,,,,21.5,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544
BWA,Botswana,2020,146,3.467,1.099,0.34,0.088,6.12,386.29,6323.3,8.06,,,,22.4,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544
BWA,Botswana,2021,142,3.471,1.503,0.28,0.102,6.31,492.14,7807.89,,,104.62,70.63,21.2,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544
BWA,Botswana,2022,132,3.435,1.471,0.087,0.071,5.73,477.83,8328.71,,,109.27,,20.71,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544
BWA,Botswana,2023,137,3.383,1.445,0.241,0.082,,,7826.35,,,,,20.57,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544
BWA,Botswana,2024,142,3.438,1.388,0.094,0.083,,,7695.24,,,,,21.41,Upper middle income,Sub-Saharan Africa ,25.9201,-24.6544
CAF,Central African Republic,2019,149,3.476,0.041,0.0,0.028,7.76,35.76,449.23,1.77,42.44,,,,Low income,Sub-Saharan Africa ,21.6407,5.63056
CAN,Canada,2019,11,7.232,1.302,1.023,0.352,11.06,5103.84,46352.87,4.77,,97.19,110.98,73.11,High income,North America,-75.6919,45.4215
CAN,Canada,2020,14,7.103,1.447,0.798,0.335,13.02,5649.17,43537.84,4.89,,96.91,109.63,75.24,High income,North America,-75.6919,45.4215
CAN,Canada,2021,15,7.025,1.886,0.783,0.368,12.42,6483.38,52886.66,4.75,,95.23,108.34,79.77,High income,North America,-75.6919,45.4215
CAN,Canada,2022,13,6.961,1.881,0.541,0.364,11.23,6255.03,56256.8,4.88,,94.74,107.48,78.9,High income,North America,-75.6919,45.4215
CAN,Canada,2023,15,6.9,1.84,0.701,0.368,11.22,6112.02,54220.33,,,94.95,104.29,76.26,High income,North America,-75.6919,45.4215
CAN,Canada,2024,18,6.803,1.749,0.832,0.323,,,54282.62,,,,,,High income,North America,-75.6919,45.4215
CHE,Switzerland,2019,3,7.56,1.391,1.041,0.408,11.43,9646.91,84121.93,5.01,,101.59,104.07,66.31,High income,Europe & Central Asia,7.44821,46.948
CHE,Switzerland,2020,3,7.571,1.566,0.816,0.413,12.0,10348.35,85897.78,5.28,,101.73,104.21,68.07,High income,Europe & Central Asia,7.44821,46.948
CHE,Switzerland,2021,4,7.512,2.026,0.822,0.461,12.0,11262.23,93664.77,5.04,,101.48,103.61,71.89,High income,Europe & Central Asia,7.44821,46.948
CHE,Switzerland,2022,8,7.24,2.022,0.582,0.475,11.71,10963.43,94394.51,4.92,,101.36,103.39,74.15,High income,Europe & Central Asia,7.44821,46.948
CHE,Switzerland,2023,9,7.06,1.97,0.747,0.498,,,100631.8,,,102.28,102.97,74.01,High income,Europe & Central Asia,7.44821,46.948
CHE,Switzerland,2024,13,6.935,1.87,0.883,0.468,,,103669.87,,,,,,High income,Europe & Central Asia,7.44821,46.948
CHL,Chile,2019,39,6.228,1.097,0.889,0.063,9.3,1348.99,14495.72,5.63,,101.19,104.41,92.07,High income,Latin America & Caribbean ,-70.6475,-33.475
CHL,Chile,2020,43,6.172,1.2,0.678,0.07,9.69,1270.98,13114.82,5.63,,99.7,103.69,89.11,High income,Latin America & Caribbean ,-70.6475,-33.475
CHL,Chile,2021,44,6.172,1.651,0.748,0.069,9.69,1576.69,16206.83,5.0,,99.37,106.67,96.22,High income,Latin America & Caribbean ,-70.6475,-33.475
CHL,Chile,2022,35,6.334,1.645,0.511,0.076,10.06,1547.29,15405.62,4.9,,100.19,106.07,99.34,High income,Latin America & Caribbean ,-70.6475,-33.475
CHL,Chile,2023,38,6.36,1.616,0.673,0.075,10.1,1714.89,17067.04,,,100.32,105.83,104.73,High income,Latin America & Caribbean ,-70.6475,-33.475
CHL,Chile,2024,45,6.361,1.537,0.711,0.085,,,16709.89,,,,,,High income,Latin America & Caribbean ,-70.6475,-33.475
CHN,China,2019,94,5.124,0.991,0.867,0.117,5.35,538.99,10342.9,,,97.82,,56.61,Upper middle income,East Asia & Pacific,116.286,40.0495
CHN,China,2020,84,5.339,1.061,0.665,0.117,5.59,582.95,10627.46,,96.74,98.79,,61.61,Upper middle income,East Asia & Pacific,116.286,40.0495
CHN,China,2021,72,5.585,1.508,0.705,0.142,5.38,670.26,12887.44,,,99.23,,66.82,Upper middle income,East Asia & Pacific,116.286,40.0495
CHN,China,2022,64,5.818,1.51,0.468,0.145,5.37,672.45,12970.61,,,100.1,,71.58,Upper middle income,East Asia & Pacific,116.286,40.0495
CHN,China,2023,60,5.973,1.497,0.629,0.164,,,12951.18,4.0,,99.17,,74.59,Upper middle income,East Asia & Pacific,116.286,40.0495
CHN,China,2024,68,5.921,1.445,0.789,0.154,,,13303.15,,,99.64,,76.88,Upper middle income,East Asia & Pacific,116.286,40.0495
CIV,Cote d'Ivoire,2019,85,5.233,0.537,0.155,0.093,3.19,68.3,2141.77,3.41,56.98,88.47,53.79,10.33,Lower middle income,Sub-Saharan Africa ,-4.0305,5.332
CIV,Cote d'Ivoire,2020,85,5.306,0.669,0.052,0.092,3.62,78.98,2179.73,3.79,,88.63,55.44,10.27,Lower middle income,Sub-Saharan Africa ,-4.0305,5.332
CIV,Cote d'Ivoire,2021,88,5.235,1.094,0.322,0.124,3.76,92.4,2455.98,3.33,50.0,85.83,57.14,10.77,Lower middle income,Sub-Saharan Africa ,-4.0305,5.332
CIV,Cote d'Ivoire,2022,93,5.053,1.094,0.12,0.131,3.64,86.15,2333.37,3.51,,86.45,54.07,11.11,Lower middle income,Sub-Saharan Africa ,-4.0305,5.332
CIV,Cote d'Ivoire,2023,96,5.08,1.08,0.288,0.164,,,2554.67,3.43,,91.81,63.96,11.57,Lower middle income,Sub-Saharan Africa ,-4.0305,5.332
CIV,Cote d'Ivoire,2024,98,5.102,1.038,0.206,0.162,,,2709.9,,,93.3,65.31,,Lower middle income,Sub-Saharan Africa ,-4.0305,5.332
CMR,Cameroon,2019,98,5.085,0.504,0.27,0.054,3.65,56.79,1555.23,3.05,,106.75,,15.05,Lower middle income,Sub-Saharan Africa ,11.5174,3.8721
CMR,Cameroon,2020,91,5.142,0.543,0.159,0.058,4.25,66.17,1555.6,3.1,,,,15.55,Lower middle income,Sub-Saharan Africa ,11.5174,3.8721
CMR,Cameroon,2021,101,5.048,0.968,0.317,0.074,4.31,72.57,1672.33,2.85,,110.11,45.53,17.16,Lower middle income,Sub-Saharan Africa ,11.5174,3.8721
CMR,Cameroon,2022,96,4.973,0.965,0.118,0.059,4.48,71.98,1604.88,2.66,,112.49,45.61,16.44,Lower middle income,Sub-Saharan Africa ,11.5174,3.8721
CMR,Cameroon,2023,104,4.874,0.943,0.288,0.06,,,1736.86,2.84,,114.42,44.84,16.04,Lower middle income,Sub-Saharan Africa ,11.5174,3.8721
CMR,Cameroon,2024,104,4.887,0.944,0.302,0.06,,,1762.37,,,114.41,,16.66,Lower middle income,Sub-Saharan Africa ,11.5174,3.8721
COL,Colombia,2019,44,6.163,0.932,0.81,0.046,7.78,503.53,6472.55,4.51,95.25,109.36,101.99,56.67,Upper middle income,Latin America & Caribbean ,-74.082,4.60987
COL,Colombia,2020,52,6.012,1.021,0.615,0.063,8.71,464.98,5339.69,5.26,95.64,107.08,101.5,55.73,Upper middle income,Latin America & Caribbean ,-74.082,4.60987
COL,Colombia,2021,66,5.781,1.452,0.72,0.077,9.02,561.12,6222.62,,95.67,106.49,102.99,58.32,Upper middle income,Latin America & Caribbean ,-74.082,4.60987
COL,Colombia,2022,72,5.63,1.455,0.486,0.068,7.57,505.51,6680.45,,95.31,104.83,101.57,59.29,Upper middle income,Latin America & Caribbean ,-74.082,4.60987
COL,Colombia,2023,78,5.695,1.437,0.648,0.059,7.69,534.44,7000.84,,95.46,,,,Upper middle income,Latin America & Caribbean ,-74.082,4.60987
COL,Colombia,2024,61,6.004,1.38,0.587,0.051,,,7913.99,,95.34,,,,Upper middle income,Latin America & Caribbean ,-74.082,4.60987
COM,Comoros,2019,134,4.289,0.416,0.437,0.1,5.18,78.24,1519.26,,,,,,Lower middle income,Sub-Saharan Africa ,43.2418,-11.6986
COM,Comoros,2020,131,4.289,0.488,0.279,0.101,5.9,89.68,1527.17,2.38,,,,,Lower middle income,Sub-Saharan Africa ,43.2418,-11.6986
COM,Comoros,2021,116,4.609,0.899,0.424,0.125,6.43,100.04,1587.73,2.27,75.83,86.82,,,Lower middle income,Sub-Saharan Africa ,43.2418,-11.6986
COM,Comoros,2022,130,3.545,0.914,0.215,0.145,8.38,122.94,1533.88,2.43,,,,,Lower middle income,Sub-Saharan Africa ,43.2418,-11.6986
COM,Comoros,2023,132,3.566,0.896,0.37,0.16,,,1682.2,2.34,,,,,Lower middle income,Sub-Saharan Africa ,43.2418,-11.6986
COM,Comoros,2024,139,3.754,0.835,0.428,0.164,,,1784.12,,,97.0,,,Lower middle income,Sub-Saharan Africa ,43.2418,-11.6986
CRI,Costa Rica,2019,15,7.121,0.981,0.94,0.096,7.22,930.44,12884.69,6.74,,108.83,132.85,55.02,High income,Latin America & Caribbean ,-84.0089,9.63701
